17:15:01:404 [ALWAYS]	GUDE Logging Started
17:15:01:405 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:15:01:405 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:15:01:405 [ERROR]	Initialize resume cache pointer failure
17:15:01:406 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
17:15:01:406 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
17:15:09:810 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
17:15:09:810 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:15:09:810 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:15:09:810 [ERROR]	Initialize resume cache pointer failure
17:15:09:810 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
17:15:09:810 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
